dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTm2,720,2024,SRSNet_RandomSP_NoShuffle_HypernetAF,0.2674,0.3425,0.2780,-3.81,0.3544,-3.36
ETTm2,720,2025,SRSNet_RandomSP_NoShuffle_HypernetAF,0.2701,0.3452,0.2752,-1.86,0.3489,-1.05
ETTh1,96,2021,SRSNet_TASP,0.4359,0.4528,0.4360,-0.02,0.4531,-0.06
ETTh1,96,2022,SRSNet_TASP,0.4371,0.4529,0.4359,+0.28,0.4523,+0.14
ETTh1,96,2023,SRSNet_TASP,0.4362,0.4528,0.4364,-0.04,0.4534,-0.14
ETTh1,96,2024,SRSNet_TASP,0.4365,0.4525,0.4365,-0.01,0.4535,-0.21
ETTh1,96,2025,SRSNet_TASP,0.4368,0.4531,0.4350,+0.43,0.4531,+0.00
ETTh1,720,2021,SRSNet_TASP,0.6523,0.5982,0.6577,-0.82,0.6025,-0.71
ETTh1,720,2022,SRSNet_TASP,0.6504,0.5993,0.6621,-1.77,0.6065,-1.19
ETTh1,720,2023,SRSNet_TASP,0.6578,0.6013,0.6582,-0.06,0.6033,-0.33
ETTh1,720,2024,SRSNet_TASP,0.6503,0.5974,0.6643,-2.12,0.6065,-1.50
ETTh1,720,2025,SRSNet_TASP,0.6583,0.6027,0.6598,-0.23,0.6039,-0.19
ETTm2,96,2021,SRSNet_TASP,0.1512,0.2548,0.1464,+3.27,0.2515,+1.34
ETTm2,96,2022,SRSNet_TASP,0.1497,0.2537,0.1483,+0.97,0.2525,+0.49
ETTm2,96,2023,SRSNet_TASP,0.1475,0.2520,0.1477,-0.19,0.2530,-0.38
ETTm2,96,2024,SRSNet_TASP,0.1492,0.2542,0.1487,+0.38,0.2538,+0.16
ETTm2,96,2025,SRSNet_TASP,0.1479,0.2520,0.1494,-1.05,0.2539,-0.76
ETTm2,720,2021,SRSNet_TASP,0.2751,0.3494,0.2673,+2.91,0.3441,+1.54
ETTm2,720,2022,SRSNet_TASP,0.2737,0.3498,0.2631,+4.03,0.3436,+1.82
ETTm2,720,2023,SRSNet_TASP,0.2786,0.3530,0.2702,+3.12,0.3494,+1.02
ETTm2,720,2024,SRSNet_TASP,0.2728,0.3509,0.2780,-1.87,0.3544,-0.97
ETTm2,720,2025,SRSNet_TASP,0.2693,0.3457,0.2752,-2.15,0.3489,-0.93
ETTh1,96,2021,SRSNet_TASP_HypernetAF,0.4373,0.4539,0.4360,+0.30,0.4531,+0.20
ETTh1,96,2022,SRSNet_TASP_HypernetAF,0.4378,0.4536,0.4359,+0.42,0.4523,+0.30
ETTh1,96,2023,SRSNet_TASP_HypernetAF,0.4364,0.4526,0.4364,-0.00,0.4534,-0.19
ETTh1,96,2024,SRSNet_TASP_HypernetAF,0.4366,0.4527,0.4365,+0.03,0.4535,-0.18
ETTh1,96,2025,SRSNet_TASP_HypernetAF,0.4373,0.4531,0.4350,+0.53,0.4531,+0.01
ETTh1,720,2021,SRSNet_TASP_HypernetAF,0.6593,0.6026,0.6577,+0.24,0.6025,+0.01
ETTh1,720,2022,SRSNet_TASP_HypernetAF,0.6477,0.5968,0.6621,-2.18,0.6065,-1.60
ETTh1,720,2023,SRSNet_TASP_HypernetAF,0.6616,0.6041,0.6582,+0.51,0.6033,+0.12
ETTh1,720,2024,SRSNet_TASP_HypernetAF,0.6505,0.5974,0.6643,-2.09,0.6065,-1.50
ETTh1,720,2025,SRSNet_TASP_HypernetAF,0.6542,0.5994,0.6598,-0.86,0.6039,-0.75
ETTm2,96,2021,SRSNet_TASP_HypernetAF,0.1487,0.2524,0.1464,+1.51,0.2515,+0.38
