dataset,horizon,seed,variant,mse_norm,mae_norm
ETTm1,720,2022,SRSNet,0.5054086136904437,0.4823844262198407
ETTm1,720,2023,SRSNet,0.501932809518462,0.4827406548927745
ETTm1,720,2024,SRSNet,0.5029150107606117,0.4822169633927867
ETTm1,720,2025,SRSNet,0.5026808756004991,0.4821476466382789
ETTm1,720,2021,SRSNet_HypernetAF,0.5031207817182943,0.481383121151514
ETTm1,720,2022,SRSNet_HypernetAF,0.5021796564154963,0.4807450183211727
ETTm1,720,2023,SRSNet_HypernetAF,0.5149140162570032,0.4889144054126628
ETTm1,720,2024,SRSNet_HypernetAF,0.5001614780775591,0.4806783076516107
ETTm1,720,2025,SRSNet_HypernetAF,0.5022661228835739,0.4815311475938025
ETTm1,720,2021,SRSNet_RandomSP,0.5157183707487559,0.4881755287959408
ETTm1,720,2022,SRSNet_RandomSP,0.5082113034228856,0.4832099897537614
ETTm1,720,2023,SRSNet_RandomSP,0.5051691117145402,0.4809859774269895
ETTm1,720,2024,SRSNet_RandomSP,0.5061058631728582,0.481803511664869
ETTm1,720,2025,SRSNet_RandomSP,0.5060041161799982,0.4814558901868732
ETTm1,720,2021,SRSNet_RandomSPNoShuffle,0.5059766047770701,0.4806278528076687
ETTm1,720,2022,SRSNet_RandomSPNoShuffle,0.5089591002874237,0.4829839457965409
ETTm1,720,2023,SRSNet_RandomSPNoShuffle,0.5061253750135922,0.4807407554965506
ETTm1,720,2024,SRSNet_RandomSPNoShuffle,0.507145858028222,0.4815074225064351
ETTm1,720,2025,SRSNet_RandomSPNoShuffle,0.5060887246938254,0.4807027846768403
ETTm1,720,2021,SRSNet_TASP,0.5066220164887055,0.4835711231518015
ETTm1,720,2022,SRSNet_TASP,0.5017323923166743,0.4830214688908625
ETTm1,720,2023,SRSNet_TASP,0.5018782466966943,0.4815938915845098
ETTm1,720,2024,SRSNet_TASP,0.5129516016282356,0.4876159432653418
ETTm1,720,2025,SRSNet_TASP,0.5049915624719621,0.4818930166555732
ETTm2,96,2021,SRSNet,0.1494200746099775,0.2533872504371171
ETTm2,96,2022,SRSNet,0.1485845535322859,0.2534190370596337
ETTm2,96,2023,SRSNet,0.1471713720256076,0.2522885471474733
ETTm2,96,2024,SRSNet,0.1477603392837234,0.2532330525332683
ETTm2,96,2025,SRSNet,0.1483130827579591,0.2538818490306955
ETTm2,96,2021,SRSNet_HypernetAF,0.148064678899977,0.2522104477216408
ETTm2,96,2022,SRSNet_HypernetAF,0.146973636851272,0.2524483324276126
ETTm2,96,2023,SRSNet_HypernetAF,0.1475689987090142,0.2523296512269294
ETTm2,96,2024,SRSNet_HypernetAF,0.147891195441052,0.2527788790973895
ETTm2,96,2025,SRSNet_HypernetAF,0.1477043686639859,0.2522095768575895
ETTm2,96,2021,SRSNet_RandomSP,0.1486813049683317,0.2539095931660322
ETTm2,96,2022,SRSNet_RandomSP,0.1481127672981167,0.2525712594056079
ETTm2,96,2023,SRSNet_RandomSP,0.1480744052619739,0.2524346334397806
ETTm2,96,2024,SRSNet_RandomSP,0.1489885377932278,0.2536908994255714
ETTm2,96,2025,SRSNet_RandomSP,0.1481378839948522,0.2522767117411861
ETTm2,96,2021,SRSNet_RandomSPNoShuffle,0.1491829596368465,0.2537544565474882
ETTm2,96,2022,SRSNet_RandomSPNoShuffle,0.1484354039888822,0.2523393026025825
ETTm2,96,2023,SRSNet_RandomSPNoShuffle,0.1483556463345349,0.2522599226803645
ETTm2,96,2024,SRSNet_RandomSPNoShuffle,0.1483982955021796,0.2523494714729462
ETTm2,96,2025,SRSNet_RandomSPNoShuffle,0.148392808168868,0.2522631522692294
ETTm2,96,2021,SRSNet_TASP,0.1501960458435879,0.255597789165283
ETTm2,96,2022,SRSNet_TASP,0.149779950827668,0.254387376313203
ETTm2,96,2023,SRSNet_TASP,0.1481357507828474,0.2527626404967254
ETTm2,96,2024,SRSNet_TASP,0.1485744521060275,0.2538577672892762
ETTm2,96,2025,SRSNet_TASP,0.1475537634000423,0.2522280614610837
ETTm2,192,2021,SRSNet,0.1793678475480637,0.2816596163324413
ETTm2,192,2022,SRSNet,0.183759441512704,0.2821745336280042
ETTm2,192,2023,SRSNet,0.1815079739058908,0.2823596149808749
ETTm2,192,2024,SRSNet,0.1828843119060102,0.2836308987750855
ETTm2,192,2025,SRSNet,0.181979803589191,0.2830953274092818
ETTm2,192,2021,SRSNet_HypernetAF,0.1797908437101882,0.278819249774155
ETTm2,192,2022,SRSNet_HypernetAF,0.1808856918326323,0.2798860755922236
ETTm2,192,2023,SRSNet_HypernetAF,0.1813516817027493,0.2804106387240952
ETTm2,192,2024,SRSNet_HypernetAF,0.1804649241295719,0.279963266851017
ETTm2,192,2025,SRSNet_HypernetAF,0.1795096780432987,0.2790255220834265
ETTm2,192,2021,SRSNet_RandomSP,0.1805882884249385,0.2798940449924658
ETTm2,192,2022,SRSNet_RandomSP,0.1827491030338869,0.2813675165381565
ETTm2,192,2023,SRSNet_RandomSP,0.1801446028621557,0.2799856103634243
ETTm2,192,2024,SRSNet_RandomSP,0.1812507617443568,0.2805938521445986
ETTm2,192,2025,SRSNet_RandomSP,0.1805178013890095,0.2803365182622159
ETTm2,192,2021,SRSNet_RandomSPNoShuffle,0.1808957163245699,0.2798538220893203
ETTm2,192,2022,SRSNet_RandomSPNoShuffle,0.1825911987856186,0.2812252585342599
